"Employee #","Last Name","First Name","Birthday","Address","Phone Number","SSS #","Philhealth #","TIN #","Pag-ibig #","Status","Position","Immediate Supervisor","Basic Salary","Rice Subsidy","Phone Allowance","Clothing Allowance","Gross Semi-monthly Rate","Hourly Rate"
"10001","Crisosto","Jose","14/02/1988","17/85 Stracke Via Suite 042, Poblacion, Las Pi�as 4783 Dinagat Islands ","918621603","49-1632020-8","382000000000","317-674-022-000","441000000000","Regular","HR MANAGER","N/A","62670","1500","1000","1000","31335","373.04"
"10002","Mata","Christian","21/10/1987","90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ","783776744","49-2959312-6","824000000000","103-100-522-000","631000000000","Regular","ACCOUNT TEAM LEADER","Romualdez, Fredrick","42975","1500","800","800","21487.5","255.8"
"10003","San Jose","Brad","15/03/1996","99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi","797009261","40-2400714-1","239000000000","672-474-690-000","211000000000","Regular","HR TEAM LEADER","Crisostomo, Jose","42975","1500","800","800","21487.5","255.8"
"10004","Salcedo","Anthony","09/14/1993","93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate","70766300","26-9647608-3","126000000000","210-805-911-000","218000000000","Regular","PAYROLL MANAGER","Crisostomo, Jose","60825","1500","1000","1000","30412.5","362.05"
"10005","Romualdez","Alice","14/05/1992","12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ","983606799","55-4476527-2","546000000000","888-572-294-000","211000000000","Regular","HR RANK AND FILE","San Jose, Brad","22500","1500","500","500","11250","133.93"
"10006","Atienza","Rosie ","09/24/1948","90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte","266036427","41-0644692-3","709000000000","604-997-793-000","260000000000","Regular","HR RANK AND FILE","San Jose, Brad","22500","1500","500","500","11250","133.93"
"10007","Farala","Mara","11/01/1942","42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ","329034366","45-5656375-0","234000000000","210-835-851-000","631000000000","Regular","PAYROLL RANK AND FILE","Farala, Martha","24000","1500","500","500","12000","142.86"
"10008","Martinez","Leila","07/11/1970","37/46 Kulas Roads, Maragondon 0962 Quirino ","877110749","27-2090996-4","516000000000","275-792-513-000","101000000000","Regular","PAYROLL RANK AND FILE","Farala, Martha","24000","1500","500","500","12000","142.86"
"10009","San Jose","Allison ","06/04/1986","08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union","179075129","45-3251383-0","745000000000","121-203-336-000","115000000000","Regular","ACCOUNT RANK AND FILE","Mata, Christian","22500","1500","500","500","11250","133.93"
"10010","Rosario","Cydney ","06/10/1996","93A/21 Berge Points, Tapaz 2180 Quezon","868819912","49-1629900-2","579000000000","122-244-511-000","265000000000","Regular","ACCOUNT RANK AND FILE","Mata, Christian","22500","1500","500","500","11250","133.93"
"10011","Lopez","Josie ","14/01/1937","49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro","478355427","44-8563448-3","432000000000","218-489-737-000","113000000000","Regular","PAYROLL TEAM LEADER","Salcedo, Anthony","38475","1500","800","800","19237.5","229.02"
"10012","De Leon","Selena ","20/02/1945","89A Armstrong Trace, Compostela 7874 Maguindanao","975432139","27-2090208-8","587000000000","482-259-498-000","719000000000","Regular","ACCOUNT TEAM LEADER","Romualdez, Fredrick","41850","1500","800","800","20925","249.11"
"10013","Romualdez","Fredrick ","10/03/1985","22A/52 Lubowitz Meadows, Pililla 4895 Zambales","23079009","26-8768374-1","308000000000","598-065-761-000","223000000000","Regular","ACCOUNT MANAGER","Crisostomo, Jose","63500","1500","1000","1000","31750","377.98"
"10014","Bautista","Mark ","12/02/1961","65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino","683725348","49-1647342-5","400000000000","273-970-941-000","260000000000","Regular","ACCOUNT RANK AND FILE","Mata, Christian","23250","1500","500","500","11625","138.39"
"10015","Lazaro","Darlene ","25/11/1985","47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino","740721558","45-5617168-2","606000000000","354-650-951-000","105000000000","Probationary","ACCOUNT RANK AND FILE","Mata, Christian","23250","0","0","0","11625","138.39"
"10016","Delos Santos","Kolby ","26/02/1980","06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur","739443033","52-0109570-6","357000000000","187-500-345-000","113000000000","Probationary","ACCOUNT RANK AND FILE","Mata, Christian","24000","0","0","0","12000","142.86"
"10017","Santos","Vella ","31/12/1983","99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur","955879269","52-9883524-3","549000000000","101-558-994-000","360000000000","Probationary","ACCOUNT RANK AND FILE","Mata, Christian","22500","0","0","0","11250","133.93"
"10018","Del Rosario","Tomas","18/12/1978","80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque","882550989","45-5866331-6","954000000000","560-735-732-000","913000000000","Probationary","ACCOUNT RANK AND FILE","Mata, Christian","22500","0","0","0","11250","133.93"
"10019","Tolentino","Jacklyn ","19/05/1944","96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao","675757366","47-1692793-0","754000000000","841-177-857-000","211000000000","Probationary","ACCOUNT RANK AND FILE","De Leon, Selena","24000","0","0","0","12000","142.86"
"10020","Gutierrez","Percival ","18/12/1970","58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur","512899876","40-9504657-8","798000000000","502-995-671-000","211000000000","Probationary","ACCOUNT RANK AND FILE","De Leon, Selena","24750","0","0","0","12375","147.32"
"10021","Manalaysay","Garfield ","28/08/1966","60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur","948628136","45-3298166-4","811000000000","336-676-445-000","211000000000","Probationary","ACCOUNT RANK AND FILE","De Leon, Selena","24750","0","0","0","12375","147.32"
"10022","Villegas","Lizeth ","12/12/1981","66/77 Mann Views, Luisiana 1263 Dinagat Islands","332372215","40-2400719-4","934000000000","210-395-397-000","122000000000","Probationary","ACCOUNT RANK AND FILE","De Leon, Selena","24000","0","0","0","12000","142.86"
"10023","Ramos","Carol ","20/08/1978","72/70 Stamm Spurs, Bustos 4550 Iloilo","250700389","60-1152206-4","352000000000","395-032-717-000","212000000000","Probationary","ACCOUNT RANK AND FILE","De Leon, Selena","22500","0","0","0","11250","133.93"
"10024","Maceda","Emelia ","14/04/1963","50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija","973358041","54-1331005-0","465000000000","215-973-013-000","515000000000","Probationary","ACCOUNT RANK AND FILE","De Leon, Selena","22500","0","0","0","11250","133.93"
